Clark,,Kent,superman,superman@dc.com,5551112222
Bruce ,,Wayne,thebatman,batman@dc.com,5551113333
Jack,,Napier,thejoker,joker@dc.com,5552223333
Barry,,Allen,theflash,flash@dc.com,5553332222
Oswold,C,Copperpot,penguin,penguin@dc.com,5552224444
Diana,,Prince,wonderwoman,wonderwoman@dc.com,5556661111
Harleen,F,Quinzel,harleyquinn,harleyquinn@dc.com,5554449898
Pamela,L,Isley,poisonivy,poisonivy@dc.com,5553456789
Selina,,Kyle,catwoman,catwoman@dc.com,5559878765
Zatanna,,Zatara,zatanna,zatanna@dc.com,5553434545
Steve,,Rogers,captainamerica,captainamerica@marvel.com,2223456567
Bruce ,,Banner,incrediblehulk,incrediblehulk@marvel.com,2223434598
Wade,,Wilson,deadpool,deadpool@marvel.com,2226567890
Peter,J,Quill,starlord,starlord@marvel.com,2228768762
Charles,,Xavier,professorx,professorx@marvel.com,2223214534
Natalia,,Romanoff,blackwidow,blackwidow@marvel.com,2229897678
Betsy,,Braddock,psylocke,psylocke@marvel.com,2227893333
Anna,,Marie,rogue111,rogue@marvel.com,2225857674
Carol,,Danvers,msmarvel,msmarvel@marvel.com,2228578675
Neena,,Thurman,domino1,domino@marvel.com,2229098721
