Clark,,Kent,4026472640479328,04/21,113,Visa,3422,First Street,44039,North Ridgeville,OH
Bruce,,Wayne,4844753390410708,03/20,469,Visa,4565,Main Street,49015,Battle Creek,MI
Jack,,Napier,4917376771565783,10/23,238,Visa,87543,Easy Street,77478,Sugar Land,TX
Barry,,Allen,4508284298305425,01/22,286,Visa,2346,Second Street,20191,Reston ,VA
Oswold,C,Copperpot,4913390115862750,04/22,738,Visa,1237,Amber Street,11422,Rosedale,NY
Diana,,Prince,5474076184847669,12/21,728,Mastercard,6537,A Street,6450,Meriden,CT
Harleen,F,Quinzel,5484852710611961,11/20,780,Mastercard,73589,B Street,7083,Union,NJ
Pamela,L,Isley,5494881532294134,11/21,596,Mastercard,12567,19th Street,70806,Baton Rouge ,LA
Selina,,Kyle,5426182031558662,03/20,598,Mastercard,3367,17th Street,91316,Encino,CA
Zatanna,,Zatara,5458755793618930,07/22,177,Mastercard,8456,G Street,1876,Tewksbury,MA
Steve,,Rogers,6471903742833025,03/21,104,Discover,5456,Ritz Blvd,1104,Sunnyside,NY
Bruce,,Banner,6471023345602477,05/20,742,Discover,2256,Common Pl,11553,Uniondale,NY
Wade,,Wilson,6459539853400620,12/20,529,Discover,5784,Rose Street,46321,Munster,IN
Peter,J,Quill,6448832676457651,05/21,397,Discover,3689,Black Street,10002,New York,NY
Charles,,Xavier,6011550282028214,04/22,930,Discover,9753,Grand Ave,20874,Germantown,MD
Natalia,,Romanoff,372981424784248,11/21,8520,Amex,7369,Death Street,30281,Stockbridge,GA
Betsy,,Braddock,375393301231417,06/21,8608,Amex,8653,Gnome Ave,27205,Asheboro,NC
Anna,,Marie,376840369284422,04/21,3488,Amex,5732,Spirit Way,30263,Newman ,GA
Carol,,Danvers,343647591424449,05/22,8366,Amex,6895,Graceland Street,60047,Lake Zurich,IL
Neena,,Thurman,347619577081788,07/23,5153,Amex,5468,Side Ave,93635,Los Banos,CA
